Category1,Source1,Category2,Source2,similarity,PapersInC1,PapersInC2,PapersInBoth,Discripancy
rotation,OpenAIRE,rotation (mathematics),OpenAlex,0.3907731585095051,60,124,31,0.2026143790849673
orientation (vector space),OpenAlex,orientation (computer vision),OpenAIRE,0.9481038030336312,217,104,68,0.2687747035573122
pattern recognition (psychology),OpenAlex,artificial intelligence & image processing,OpenAIRE,0.4338127837484393,3593,3682,1378,0.2336781414278446
fuzzy set,OpenAlex,logic,OpenAIRE,0.3608846563023726,296,154,83,0.2261580381471389
artificial intelligence,OpenAlex,,OpenAIRE,0.3311247188618926,28905,7212,7212,0.2495070057083549
developmental biology,OpenAIRE,genetics,OpenAlex,0.8320985748213492,2918,1750,792,0.2043343653250774
biology,OpenAIRE,genetics,OpenAlex,0.8202186941629346,2128,1750,1135,0.4137805322639445
genetics,OpenAlex,developmental biology,OpenAIRE,0.8320985748213492,1750,2918,792,0.2043343653250774
sympatry,OpenAlex,sympatric speciation,OpenAIRE,0.5325236469314858,14,12,6,0.3
uncertainty analysis,OpenAIRE,uncertainty quantification,OpenAlex,0.8716070894796291,25,26,11,0.275
simple (abstract algebra),OpenAIRE,simple (philosophy),OpenAlex,0.9686822031034258,225,651,151,0.2082758620689655
field (mathematics),OpenAlex,field (computer science),OpenAIRE,0.9649903451173206,1031,441,326,0.2844677137870855
supply chain,OpenAlex,supply chain management/business terms,OpenAIRE,0.7230165674500472,140,266,73,0.2192192192192192
uncertainty analysis,OpenAlex,uncertainty quantification,OpenAIRE,0.8716070894796291,20,15,6,0.2068965517241379
lineage (evolution),OpenAIRE,lineage (genetic),OpenAlex,0.9812931784137152,6,12,4,0.2857142857142857
genetics,OpenAIRE,genome,OpenAlex,0.6270885391159152,974,331,244,0.2299717247879359
genomics,OpenAIRE,genome,OpenAlex,0.6270885391159152,172,331,94,0.2298288508557457
biology,OpenAIRE,computational biology,OpenAlex,0.9027508892126634,2128,769,565,0.2422813036020583
molecular biology,OpenAIRE,computational biology,OpenAlex,0.92042788389821,724,769,264,0.2148087876322213
bioinformatics,OpenAIRE,computational biology,OpenAlex,0.8936086548605443,506,769,213,0.2005649717514124
genetics,OpenAIRE,computational biology,OpenAlex,0.8321025599785604,974,769,386,0.2844509948415623
phylogenetic tree,OpenAIRE,phylogenetics,OpenAlex,0.6573630448817155,100,132,49,0.2677595628415301
phylogeny,OpenAIRE,phylogenetics,OpenAlex,0.4950384304357722,179,132,53,0.2054263565891473
phylogenetics,OpenAIRE,phylogenetic tree,OpenAlex,0.6573630448817155,96,148,65,0.3631284916201117
phylogeny,OpenAIRE,phylogenetic tree,OpenAlex,0.4836583479619927,179,148,89,0.3739495798319328
rna splicing,OpenAIRE,rna,OpenAlex,0.9610763109343812,8,33,7,0.2058823529411764
niche,OpenAlex,ecological niche,OpenAIRE,0.7702487431452647,33,19,13,0.3333333333333333
lineage (genetic),OpenAlex,lineage (evolution),OpenAIRE,0.9812931784137152,12,6,4,0.2857142857142857
genome,OpenAlex,genomics,OpenAIRE,0.6270885391159152,331,172,94,0.2298288508557457
computational biology,OpenAlex,molecular biology,OpenAIRE,0.92042788389821,769,724,264,0.2148087876322213
evolutionary computation,OpenAIRE,evolutionary algorithm,OpenAlex,0.8657161654599391,93,107,50,0.3333333333333333
tree (data structure),OpenAIRE,tree (set theory),OpenAlex,0.8840814698629617,89,185,64,0.3047619047619048
phylogenetic tree,OpenAlex,phylogenetics,OpenAIRE,0.6573630448817155,148,96,65,0.3631284916201117
representation (politics),OpenAlex,representation (mathematics),OpenAIRE,0.9804570647155656,891,266,208,0.2191780821917808
phylogenetics,OpenAlex,phylogeny,OpenAIRE,0.4950384304357722,132,179,53,0.2054263565891473
phylogenetic tree,OpenAlex,phylogeny,OpenAIRE,0.4836583479619927,148,179,89,0.3739495798319328
recombination,OpenAlex,"recombination, genetic",OpenAIRE,0.8011717206663025,28,39,17,0.34
tree (set theory),OpenAlex,tree (data structure),OpenAIRE,0.8840814698629617,185,89,64,0.3047619047619048
computational biology,OpenAlex,bioinformatics,OpenAIRE,0.8936086548605443,769,506,213,0.2005649717514124
drug design,OpenAIRE,drug discovery,OpenAlex,0.8371423441143273,40,73,20,0.2150537634408602
drug discovery,OpenAlex,drug design,OpenAIRE,0.8371423441143273,73,40,20,0.2150537634408602
surface (mathematics),OpenAIRE,surface (topology),OpenAlex,0.991454430024964,78,112,37,0.2418300653594771
visual perception,OpenAIRE,perception,OpenAlex,0.8380239073070129,514,1086,276,0.2084592145015106
surface (topology),OpenAlex,surface (mathematics),OpenAIRE,0.991454430024964,112,78,37,0.2418300653594771
cognitive psychology,OpenAlex,psychology and cognitive sciences,OpenAIRE,0.8976534538123353,2342,1783,711,0.2082601054481546
visual field,OpenAlex,visual fields,OpenAIRE,0.9346047569563944,50,60,21,0.2359550561797752
image segmentation,OpenAIRE,segmentation,OpenAlex,0.8308392766193361,400,646,280,0.3655352480417754
segmentation,OpenAIRE,image segmentation,OpenAlex,0.8308392766193361,440,369,210,0.350584307178631
scale-space segmentation,OpenAIRE,image segmentation,OpenAlex,0.6234488641423993,98,369,91,0.2420212765957446
semantics,OpenAIRE,semantics (computer science),OpenAlex,0.3380540278820784,262,197,81,0.2142857142857142
image segmentation,OpenAlex,segmentation,OpenAIRE,0.8308392766193361,369,440,210,0.350584307178631
pattern recognition (psychology),OpenAlex,applications of computer vision/computer vision/image processing,OpenAIRE,0.4951479928071396,3593,1524,888,0.2099787183731378
segmentation,OpenAlex,image segmentation,OpenAIRE,0.8308392766193361,646,400,280,0.3655352480417754
affect (psychology),OpenAIRE,affect (linguistics),OpenAlex,0.9892146360263918,160,248,113,0.3830508474576271
work (electrical),OpenAIRE,work (physics),OpenAlex,0.980804811968645,179,372,108,0.2437923250564334
affect (linguistics),OpenAlex,affect (psychology),OpenAIRE,0.9892146360263918,248,160,113,0.3830508474576271
work (physics),OpenAlex,work (electrical),OpenAIRE,0.980804811968645,372,179,108,0.2437923250564334
value (ethics),OpenAIRE,value (mathematics),OpenAlex,0.9823218296267796,109,320,72,0.2016806722689075
demography,OpenAlex,population,OpenAIRE,0.624707758656191,907,660,416,0.3614248479582971
population,OpenAlex,education,OpenAIRE,0.581628270119776,1048,1474,509,0.252856433184302
mathematics education,OpenAlex,education,OpenAIRE,0.9396347074306822,603,1474,347,0.2005780346820809
active learning,OpenAIRE,active learning (machine learning),OpenAlex,0.5877259990888483,77,86,37,0.2936507936507936
education,OpenAIRE,mathematics education,OpenAlex,0.9396347074306822,1474,603,347,0.2005780346820809
pedagogy,OpenAIRE,mathematics education,OpenAlex,0.741972897903584,253,603,169,0.2459970887918486
teaching method,OpenAlex,cooperative learning,OpenAIRE,0.7542860447866461,102,51,26,0.2047244094488189
cognitive style,OpenAlex,learning styles,OpenAIRE,0.8004057007815724,7,9,3,0.2307692307692307
active learning (machine learning),OpenAlex,active learning,OpenAIRE,0.5877259990888483,86,77,37,0.2936507936507936
action (philosophy),OpenAIRE,action (physics),OpenAlex,0.9876624792043824,250,420,195,0.4105263157894737
psychology,OpenAIRE,cognitive psychology,OpenAlex,0.912697110652914,4003,2342,1754,0.3820518405576127
experimental and cognitive psychology,OpenAIRE,cognitive psychology,OpenAlex,0.8953826421471518,846,2342,552,0.2094081942336874
psychology and cognitive sciences,OpenAIRE,cognitive psychology,OpenAlex,0.8976534538123353,1783,2342,711,0.2082601054481546
cognition,OpenAIRE,cognitive psychology,OpenAlex,0.9344322503642192,1074,2342,717,0.2656539459058911
psychology,OpenAIRE,cognition,OpenAlex,0.7073213604074343,4003,1510,1124,0.2560947824105719
cognitive psychology,OpenAIRE,cognition,OpenAlex,0.9344322503642192,1152,1510,566,0.2700381679389313
cognitive psychology,OpenAlex,cognition,OpenAIRE,0.9344322503642192,2342,1074,717,0.2656539459058911
neuroscience,OpenAlex,cognition,OpenAIRE,0.7073213604074343,3636,1074,838,0.2164256198347107
cognition,OpenAlex,psychology,OpenAIRE,0.7073213604074343,1510,4003,1124,0.2560947824105719
social psychology,OpenAlex,psychology,OpenAIRE,0.8011338853981462,2424,4003,1495,0.3031224655312247
neuroscience,OpenAlex,psychology,OpenAIRE,1.0000000315662831,3636,4003,1924,0.33665791776028
cognitive psychology,OpenAlex,psychology,OpenAIRE,0.912697110652914,2342,4003,1754,0.3820518405576127
cognition,OpenAlex,cognitive psychology,OpenAIRE,0.9344322503642192,1510,1152,566,0.2700381679389313
gene expression,OpenAlex,oligonucleotide array sequence analysis,OpenAIRE,0.7576934424986914,166,92,45,0.2112676056338028
microarray analysis techniques,OpenAlex,oligonucleotide array sequence analysis,OpenAIRE,0.7925761866956709,33,92,24,0.2376237623762376
genome,OpenAlex,genetics,OpenAIRE,0.6270885391159152,331,974,244,0.2299717247879359
gene,OpenAlex,genetics,OpenAIRE,0.655035911670675,2468,974,715,0.2621928859552622
computational biology,OpenAlex,genetics,OpenAIRE,0.8321025599785604,769,974,386,0.2844509948415623
deformation (engineering),OpenAIRE,deformation (meteorology),OpenAlex,0.9859469727351298,12,29,7,0.2058823529411764
atlas (anatomy),OpenAlex,atlas (topology),OpenAIRE,0.9867830062939742,17,12,7,0.3181818181818182
functional magnetic resonance imaging,OpenAlex,magnetic resonance imaging,OpenAIRE,0.9735750230968636,207,578,162,0.2600321027287319
mathematics education,OpenAlex,pedagogy,OpenAIRE,0.741972897903584,603,253,169,0.2459970887918486
facial recognition system,OpenAIRE,face (sociological concept),OpenAlex,0.3411030594101822,210,324,138,0.3484848484848485
face (geometry),OpenAIRE,face (sociological concept),OpenAlex,0.9559466739735664,151,324,122,0.3456090651558073
control theory,OpenAIRE,control (management),OpenAlex,0.3037947843606735,1378,2884,1279,0.4287629902782434
electrical and electronic engineering,OpenAIRE,control (management),OpenAlex,0.3809283454914809,2572,2884,1062,0.2416932180245789
engineering,OpenAIRE,control (management),OpenAlex,0.3309886115582778,1607,2884,808,0.2193863698072223
control and systems engineering,OpenAIRE,control (management),OpenAlex,0.4041524237616669,1379,2884,793,0.2285302593659942
psychology,OpenAlex,social psychology,OpenAIRE,0.8011338853981462,7484,1680,1561,0.2053136919636985
visual fields,OpenAIRE,visual field,OpenAlex,0.9346047569563944,60,50,21,0.2359550561797752
incidence (epidemiology),OpenAIRE,incidence (geometry),OpenAlex,0.9826633254609016,6,11,3,0.2142857142857142
diabetic retinopathy,OpenAIRE,ophthalmology,OpenAlex,0.4811310572538677,21,83,18,0.2093023255813953
perception,OpenAlex,visual perception,OpenAIRE,0.8380239073070129,1086,514,276,0.2084592145015106
diabetic retinopathy,OpenAlex,glaucoma,OpenAIRE,1.0000000615523188,17,11,5,0.217391304347826
binocular rivalry,OpenAlex,binocular vision,OpenAIRE,0.7767808692811308,7,13,4,0.25
calibration (statistics),OpenAIRE,calibration,OpenAlex,0.4088538715891034,53,87,32,0.2962962962962963
distortion,OpenAIRE,amplifier,OpenAlex,0.5369531585531715,73,152,53,0.3081395348837209
amplifier,OpenAlex,distortion,OpenAIRE,0.5369531585531715,152,73,53,0.3081395348837209
camera resectioning,OpenAlex,pinhole camera model,OpenAIRE,0.7145335086208552,14,4,4,0.2857142857142857
camera auto-calibration,OpenAlex,camera resectioning,OpenAIRE,0.5602096109566982,8,16,6,0.3333333333333333
